Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
UCLA Bruins,32,41.4,26.8,58.0,0.461,19.9,39.7,0.503,6.8,18.3,0.372,13.1,18.3,0.715,9.8,25.2,34.9,13.7,4.9,2.8,10.5,16.1,73.4,2021
BYU Cougars,27,40.6,28.7,59.6,0.483,20.0,36.1,0.554,8.7,23.4,0.373,11.9,16.4,0.725,9.4,29.7,39.2,16.1,4.6,2.8,13.2,18.0,78.1,2021
USC Trojans,33,40.6,27.4,58.1,0.472,20.9,40.1,0.522,6.5,18.0,0.36,13.7,21.1,0.649,11.6,27.2,38.8,13.9,4.8,5.1,12.4,15.1,74.9,2021
Drake Bulldogs,31,40.3,29.3,60.6,0.483,22.3,41.4,0.537,7.0,19.2,0.367,10.3,14.5,0.713,10.2,25.9,36.1,13.6,7.0,3.0,10.3,15.7,75.9,2021
Oklahoma Sooners,27,40.6,26.7,60.4,0.443,18.9,37.3,0.506,7.9,23.0,0.341,13.2,17.7,0.745,9.6,26.1,35.7,13.3,7.1,3.6,11.0,14.7,74.5,2021
Missouri Tigers,26,40.4,25.7,57.6,0.446,18.6,35.8,0.52,7.1,21.8,0.325,15.0,21.3,0.701,9.8,25.9,35.7,13.3,6.7,3.5,13.3,19.7,73.4,2021
Ohio Bobcats,25,40.0,29.1,60.8,0.479,20.8,37.0,0.56,8.4,23.7,0.352,12.6,17.9,0.703,9.6,25.7,35.3,17.5,6.4,2.1,12.0,15.8,79.2,2021
Virginia Cavaliers,25,40.2,25.2,53.0,0.474,16.7,30.4,0.549,8.5,22.6,0.375,9.4,11.5,0.816,6.5,25.2,31.6,13.8,4.9,4.4,9.2,12.9,68.2,2021
Michigan Wolverines,28,40.2,27.5,57.1,0.482,20.2,37.8,0.535,7.4,19.3,0.381,13.3,17.3,0.769,8.9,28.5,37.5,15.8,4.3,4.2,11.3,14.7,75.8,2021
Texas Southern Tigers,26,40.2,26.7,60.2,0.444,22.2,43.8,0.507,4.5,16.3,0.276,15.9,22.8,0.699,12.0,28.9,40.9,12.1,7.0,4.4,15.3,17.9,73.9,2021
Maryland Terrapins,31,40.0,24.3,52.8,0.46,16.1,29.9,0.539,8.2,22.8,0.357,12.1,17.4,0.699,6.3,26.4,32.7,13.4,5.0,3.3,11.1,14.7,68.9,2021
UConn Huskies,23,40.2,26.2,60.3,0.434,19.4,40.2,0.483,6.7,20.1,0.335,12.7,17.5,0.722,13.5,24.7,38.2,12.9,6.2,5.3,11.7,18.8,71.7,2021
LSU Fighting Tigers,29,40.2,28.8,62.9,0.459,20.8,39.6,0.524,8.1,23.2,0.347,16.0,21.3,0.751,11.4,27.0,38.4,12.1,7.8,2.9,11.3,17.4,81.8,2021
St. Bonaventure Bonnies,21,40.0,25.8,58.3,0.443,19.4,39.7,0.489,6.4,18.6,0.344,12.0,16.3,0.738,11.3,25.6,36.9,14.6,5.9,4.0,10.7,15.3,70.0,2021
Kansas Jayhawks,30,40.2,26.3,60.3,0.436,18.7,38.2,0.49,7.6,22.1,0.342,12.9,18.0,0.716,11.1,26.4,37.5,13.8,6.9,4.0,12.0,15.3,73.0,2021
Eastern Washington Eagles,24,40.0,27.8,59.4,0.468,19.3,35.5,0.544,8.5,23.9,0.355,14.2,18.0,0.791,7.4,27.9,35.3,15.2,4.8,2.9,11.5,17.0,78.3,2021
Iowa Hawkeyes,31,40.2,29.8,63.3,0.471,20.1,38.1,0.527,9.7,25.2,0.386,14.5,20.2,0.715,11.2,28.5,39.7,19.2,5.6,4.5,9.5,14.9,83.7,2021
Grand Canyon Antelopes,24,40.0,28.2,57.7,0.488,21.4,37.0,0.578,6.8,20.7,0.329,12.4,18.1,0.684,10.6,29.3,39.9,16.3,4.8,3.0,12.8,17.2,75.5,2021
Gonzaga Bulldogs,32,40.2,33.7,61.4,0.549,26.2,41.0,0.639,7.5,20.4,0.368,16.0,22.0,0.73,9.0,28.1,37.2,18.8,7.9,2.8,12.0,16.3,91.0,2021
Norfolk State Spartans,25,40.2,25.2,59.1,0.427,17.4,38.0,0.459,7.8,21.1,0.367,15.4,21.8,0.705,9.9,26.4,36.3,12.1,6.5,3.2,12.9,19.2,73.6,2021
Florida State Seminoles,25,40.4,27.7,58.4,0.474,20.0,38.0,0.527,7.7,20.4,0.376,14.0,19.0,0.741,10.9,25.8,36.7,14.5,7.3,5.1,14.4,18.4,77.2,2021
UNC Greensboro Spartans,30,40.2,27.4,65.1,0.421,19.8,39.7,0.499,7.6,25.4,0.299,10.6,15.5,0.683,12.6,26.6,39.1,12.3,7.5,3.8,11.0,18.1,73.0,2021
Creighton Bluejays,31,40.3,28.3,60.1,0.472,18.9,33.9,0.557,9.5,26.2,0.361,9.9,15.4,0.64,8.4,27.4,35.7,15.6,7.0,3.3,11.0,15.4,76.0,2021
UCSB Gauchos,27,40.4,27.4,56.8,0.482,20.7,37.5,0.551,6.7,19.3,0.347,14.5,19.3,0.751,9.3,25.9,35.2,16.2,7.4,2.8,10.9,15.9,76.0,2021
Colorado Buffaloes,32,40.0,25.9,56.7,0.456,18.2,36.1,0.504,7.7,20.7,0.372,13.7,16.7,0.819,9.8,25.0,34.8,13.6,5.2,2.8,11.4,16.4,73.1,2021
Georgetown Hoyas,26,40.2,24.8,58.5,0.423,16.5,35.7,0.461,8.3,22.8,0.365,13.6,18.0,0.753,11.5,28.3,39.8,12.8,5.9,3.9,15.2,15.9,71.4,2021
Alabama Crimson Tide,33,40.2,28.0,64.4,0.435,17.5,34.4,0.507,10.5,30.0,0.352,13.1,18.5,0.708,12.4,28.3,40.7,14.1,8.5,4.3,13.9,18.3,79.7,2021
Iona Gaels,18,40.0,24.8,56.1,0.442,17.4,34.9,0.499,7.3,21.2,0.346,14.4,19.3,0.744,10.8,26.1,36.8,13.6,6.8,4.2,15.6,21.6,71.3,2021
Abilene Christian Wildcats,29,40.0,27.1,60.4,0.449,19.5,38.2,0.509,7.6,22.2,0.344,13.9,20.5,0.678,11.3,24.8,36.1,17.7,9.7,3.0,13.6,19.1,75.7,2021
Texas Longhorns,27,40.6,26.0,57.3,0.454,17.4,33.1,0.525,8.6,24.1,0.356,13.8,19.4,0.71,10.8,27.6,38.4,13.2,6.5,4.1,14.6,19.7,74.4,2021
